Student_Name,attendance_percentage,study_hours_per_week,homework_completion_rate,class_participation,quiz_average,midterm_score,final_score,math_score,science_score,english_score,overall_grade,stress_level,learning_style
Aarav Reddy,66.5,1.04,81.91,1,55.63,82.68,90.72,62.47,69.98,78.29,D,5,Visual
Vivaan Reddy,90.84,19.24,91.68,5,81.17,55.52,72.72,97.04,84.8,67.56,B,4,Kinesthetic
Aditya Reddy,99.72,11.17,62.42,2,32.83,44.91,32.42,83.92,73.76,97.87,A,1,Visual
Arjun Reddy,92.04,14.31,50.24,1,61.59,52.96,76.51,75.92,45.0,53.14,C,4,Visual
Krishna Reddy,67.31,18.34,52.32,1,39.9,65.05,31.38,49.36,51.13,75.27,B,2,Visual
Rohan Reddy,85.56,9.23,78.79,5,50.39,77.0,84.41,49.36,53.16,82.01,B,2,Visual
Rahul Reddy,76.7,9.37,69.73,3,89.05,74.53,56.12,43.49,55.47,89.53,C,4,Auditory
Karthik Reddy,89.33,4.17,64.05,3,47.92,67.03,42.93,91.97,73.92,64.42,B,2,Kinesthetic
Siddharth Reddy,57.65,18.21,44.19,4,60.23,47.88,71.93,76.07,70.24,81.22,A,5,Visual
Ananya Reddy,81.91,13.31,91.28,4,44.54,69.35,61.3,82.48,52.19,58.19,B,5,Auditory
Diya Reddy,88.68,4.43,84.67,4,67.23,78.21,50.67,41.24,44.05,66.13,A,3,Visual
Isha Reddy,88.06,11.64,39.84,3,37.51,92.62,67.97,98.19,50.29,93.74,A,1,Kinesthetic
Kavya Reddy,98.18,7.24,55.72,1,71.94,30.19,49.91,89.95,99.06,96.99,B,4,Visual
Pooja Reddy,52.92,3.8,67.95,1,74.76,70.84,32.04,52.74,68.11,83.13,B,2,Auditory
Sneha Reddy,67.29,4.46,61.8,1,47.19,73.52,76.92,50.91,92.04,62.46,B,3,Kinesthetic
Aditi Reddy,73.83,11.63,57.85,4,51.1,44.91,31.55,51.0,90.93,89.2,A,3,Visual
Nisha Reddy,65.49,11.72,80.32,3,90.99,69.17,68.09,58.25,70.69,41.55,C,4,Visual
Priya Reddy,65.49,16.01,33.82,4,63.08,82.05,78.83,71.49,82.4,46.16,C,3,Visual
Meera Reddy,58.81,5.71,63.0,2,59.01,88.22,37.45,65.92,51.57,79.68,C,3,Visual
Aarav Sharma,90.65,18.4,48.35,4,68.2,76.11,40.72,57.47,81.3,57.47,D,1,Auditory
Vivaan Sharma,95.4,10.85,35.92,2,77.44,98.26,97.74,76.71,56.34,97.08,A,5,Auditory
Aditya Sharma,54.12,4.88,62.54,2,79.69,88.33,62.94,48.37,89.92,66.16,A,2,Kinesthetic
Arjun Sharma,57.74,8.85,42.0,3,82.0,57.62,87.75,57.53,45.02,65.76,A,4,Visual
Krishna Sharma,61.42,18.54,48.08,1,46.85,90.93,96.33,61.98,86.39,80.68,C,2,Visual
Rohan Sharma,75.45,10.08,65.49,5,57.13,44.86,84.95,67.36,46.0,86.05,D,3,Visual
Rahul Sharma,89.56,17.62,98.16,4,94.44,79.38,96.45,87.11,92.87,68.53,C,2,Auditory
Karthik Sharma,53.57,4.04,77.9,3,63.97,41.73,92.11,51.98,58.25,52.84,B,3,Kinesthetic
Siddharth Sharma,81.84,18.37,49.57,4,35.67,98.03,74.79,70.85,79.26,86.4,D,1,Kinesthetic
Ananya Sharma,57.47,9.18,56.77,2,51.9,74.86,65.87,75.54,69.25,59.22,B,1,Visual
Diya Sharma,98.57,18.79,58.43,1,93.79,82.16,86.89,42.79,61.98,50.51,B,1,Visual
Isha Sharma,94.94,17.46,40.75,1,30.28,73.2,90.47,76.45,78.73,77.9,B,5,Visual
Kavya Sharma,97.48,13.54,41.25,5,35.5,60.69,95.36,50.23,96.85,45.43,B,4,Auditory
Pooja Sharma,55.31,13.78,40.39,2,66.48,54.42,45.24,43.9,42.48,98.28,B,2,Visual
Sneha Sharma,74.4,5.02,66.52,5,86.34,49.64,80.13,96.93,95.13,77.94,D,3,Visual
Aditi Sharma,58.26,12.45,77.19,4,91.43,85.35,98.5,97.94,76.54,99.15,A,1,Auditory
Nisha Sharma,80.02,11.44,71.35,1,87.81,46.17,67.61,88.5,88.44,60.33,B,2,Visual
Priya Sharma,61.64,7.35,98.44,1,40.04,89.86,91.82,58.28,63.03,98.27,C,1,Auditory
Meera Sharma,88.53,10.61,38.81,5,41.49,82.93,67.87,45.86,68.31,48.73,A,3,Auditory
Aarav Patel,82.2,18.65,99.05,2,93.24,58.54,73.02,81.05,92.13,42.44,C,2,Kinesthetic
Vivaan Patel,78.58,1.1,62.67,1,79.63,74.92,58.32,66.41,64.89,41.98,A,3,Auditory
Aditya Patel,91.26,8.93,45.3,3,91.9,86.64,46.76,47.32,72.08,67.89,A,2,Auditory
